,local,global
the,0.034912397305060835,0.1732184838758225
of,0.004825154019695644,0.5308089728600094
to,0.0011694908858454981,0.4705441804027456
and,0.018951454983390657,0.6667671696666422
in,0.006180070895851303,0.5008420896175362
a,0.0059674156755020104,0.5051188266442549
is,0.0011531119289504206,0.43680328967700455
that,0.0006345345949142916,0.4451672962579556
for,0.0022412753235167976,0.4365658078791911
it,0.0008005313646523636,0.34823214415916703
as,0.001479742031435786,0.4284714609537903
be,0.0007368459937853605,0.4023504262701064
not,0.0005168803392734972,0.34492502887404
was,0.001642570304800491,0.448453967223451
on,0.003626068994443415,0.36081487824435865
i,0.0004682174887809499,0.28101385838628057
with,0.0023061870290222676,0.4365384912897149
he,0.0005787006940461309,0.39844956103485696
by,0.0019393554442678946,0.35863742351187833
are,0.0013596995256582357,0.32837448945096637
at,0.0016593852998491772,0.31247978412086963
this,0.001019740645055064,0.33499021318960776
have,0.0007193448498597957,0.36752828116461256
you,0.0006859274413604788,0.3247792377631513
from,0.001920727442681674,0.30600700796533864
which,0.003217906662965597,0.5210852905136631
had,0.00048789339800733774,0.3209645010052443
but,0.0006793092110335266,0.4745138919203241
or,0.002329195410966612,0.37562202622704677
an,0.003831748361357264,0.2865051246901894
his,0.0010327862851591523,0.40117360295477
they,0.0005936748623590929,0.3494730639296618
can,0.0010678121569105577,0.3332443777278895
we,0.0005620035193135697,0.2784276090950484
one,0.0008380208221870486,0.4145763820478463
there,0.0013118917756122237,0.3057170295844097
were,0.0011511147150516528,0.36131751616331653
been,0.0004036839158236827,0.30535575496878054
has,0.0007476457542388674,0.33545168786210355
she,0.0004875849164795395,0.24722151711201235
what,0.0004464500540527944,0.32989712856732045
if,0.0005916343972414655,0.36329011850468795
would,0.0004495290699428743,0.32982072393150774
all,0.0018779428000770323,0.4071201515037508
do,0.0003384420757717166,0.2686958575929944
her,0.0007871569673673984,0.2751689961647351
will,0.0007571849893071445,0.39632324842922617
their,0.0017863311076864662,0.35986890868182386
who,0.001067556745101608,0.3733053666835643
more,0.0011471096424550316,0.28749694253669755
when,0.0007957610671981857,0.37916445742152327
time,0.0008101244604999391,0.3836541681564485
may,0.001509139424266486,0.3603680700528916
other,0.001596554294683069,0.35129743323840124
about,0.0023353859422034044,0.3318783473101572
than,0.00036124562916394555,0.24137244221205623
so,0.001060727714087606,0.474974164106979
no,0.0009209196384464323,0.3480266695476236
new,0.0015628674327069383,0.30329009969018716
out,0.0012504275160258728,0.3701491816249377
him,0.000544075724582786,0.3634990296877023
could,0.0005118743584617565,0.2512991482160889
between,0.0012473865701689106,0.25770835958409166
them,0.0011832892151674888,0.39439951900057224
only,0.0009574140470667491,0.4127310977865112
into,0.001204900329750503,0.2722173850424854
up,0.0007271561170847841,0.3409949687882339
any,0.0011661783990909507,0.32604579364277886
did,0.00048734815686952434,0.28799912000855055
some,0.0015128340782091841,0.4368861679477515
its,0.001797218872141574,0.3439885873480404
me,0.0007908697901095443,0.2938003423194159
such,0.0029104806333156647,0.479434018352235
my,0.0005861319755403246,0.3049410954511169
two,0.0001858987258642896,0.26282882886808745
should,0.0003829920834740679,0.35704351581628146
1,0.0002269312923216911,0.3752284843237197
how,0.0005374822118054226,0.3387730432342535
first,0.0009077481057803907,0.35660300228416963
these,0.0010552900175450296,0.32806715352981886
most,0.0008736388912463163,0.2659585863112648
way,0.0012180131178836844,0.3582037768779429
people,0.001841346295498839,0.3935587540150597
because,0.000673500126920865,0.3171124724082107
also,0.0021696667863064993,0.5250869194543242
said,0.0009842232753262468,0.41780248679490906
see,0.0020602129209202685,0.386884084169295
world,0.0037975277153714623,0.45413879490386266
your,0.0018566980784434934,0.4333913208207102
same,0.002247992435388482,0.43202712560942425
