hour	pa	na	uid
144	.0833333	.0238095	1
23	.0902778	.0277778	1
127	.2	0	1
87	.0909091	0	1
22	.0889488	.0161725	1
161	.0813008	.0081301	1
95	.1176471	.0294118	1
14	.2727273	0	1
131	.04	.0133333	1
109	.0740741	0	1
53	.0333333	.0333333	1
31	.0490196	0	1
66	.0902778	.0069444	1
151	.1666667	.1666667	1
154	.1071429	0	1
20	.0645161	.0322581	1
141	.0612245	.0204082	1
137	.025641	.025641	1
157	.0625	0	1
129	.0588235	.004902	1
19	.0583942	.0364963	1
143	.0588235	0	1
128	.0634921	.015873	1
153	.1232877	.0136986	1
160	.0285714	.0285714	1
102	.0909091	0	1
140	.1176471	.0392157	1
41	.125	0	1
36	.0666667	0	1
21	.0722892	0	1
159	.0740741	0	1
68	.0632911	.0189873	1
166	.04	.02	1
164	.0469799	.0201342	1
113	.0666667	0	1
93	.0196078	0	1
70	.0869565	0	1
163	.0454545	.0909091	1
47	.12	0	1
132	.1272727	.0363636	1
69	.0887097	.0241935	1
15	.0810811	.027027	1
108	.0454545	0	1
136	.0854701	.017094	1
44	0	.5128205	1
158	.1111111	0	1
167	.0575916	.026178	1
138	.125	.0178571	1
165	.0613497	.0184049	1
152	.0294118	.0147059	1
119	.0923077	.0307692	1
65	.0704225	0	1
130	.0952381	.0068027	1
135	.0887097	.0080645	1
155	.1515152	.0151515	1
54	.12	0	1
142	.0705882	.0117647	1
107	.1969697	0	1
162	.0985916	0	1
37	.25	.05	1
1	.047619	0	1
118	.0348837	0	1
8	.0212766	.0212766	1
67	.0769231	.013986	1
42	.0645161	.0322581	2
71	0	0	2
107	.2	0	2
41	.0307692	.0153846	2
126	.0689655	.0344828	2
64	.0186916	.0560748	2
156	.0679612	.0291262	2
86	.0204082	0	2
163	.015873	0	2
14	.037037	0	2
46	.09375	.0625	2
4	0	.4	2
16	0	0	2
94	0	.0571429	2
108	.0740741	0	2
93	.0487805	.0731707	2
23	.05	.05	2
17	.1666667	0	2
44	.0441176	0	2
79	0	.0285714	2
78	.05	.025	2
85	.0909091	.0454545	2
132	.0344828	.0689655	2
96	.25	0	2
65	.0217391	.0217391	2
5	0	0	2
138	0	0	2
43	.0153846	0	2
154	.0689655	0	2
11	0	0	2
88	.030303	.0606061	2
165	0	0	2
59	0	.0666667	2
111	.106383	.0425532	2
91	.0227273	0	2
67	.0416667	.0416667	2
115	.1481481	0	2
95	0	.0217391	2
166	0	0	2
70	.0615385	.0307692	2
160	0	0	2
97	0	.0714286	2
144	.0684932	.0273973	2
136	.0666667	.0133333	2
114	.0447761	.0149254	2
135	.1	.05	2
12	.0606061	.030303	2
153	.0571429	0	2
68	.0188679	.0377358	2
137	0	0	2
62	0	0	2
20	.0533333	.0266667	2
24	0	.0714286	2
47	0	.0925926	2
35	0	.0769231	2
21	.0588235	0	2
81	.0625	0	2
120	.0909091	0	2
117	.0263158	.0263158	2
116	.0465116	.0697674	2
39	.6666667	0	2
75	0	0	2
49	.1428571	.0714286	2
143	.03125	.0625	2
10	.1	0	2
101	0	0	2
110	.0232558	0	2
109	.0588235	.0294118	2
80	.0454545	.0909091	2
15	.0833333	.0208333	2
36	.0689655	0	2
104	0	0	2
54	.12	.04	2
134	.0217391	.0434783	2
112	.0645161	0	2
19	.0461538	.0615385	2
157	0	0	2
159	0	.0416667	2
40	0	0	2
142	.08	0	2
69	.0434783	.0434783	2
133	.0465116	0	2
164	.0434783	.0869565	2
63	.047619	0	2
22	0	0	2
113	.046875	.046875	2
18	0	.0555556	2
89	.0434783	0	2
105	0	.0740741	2
150	.2727273	0	2
92	.0714286	.0357143	2
41	0	.0666667	3
48	.0666667	.0666667	3
119	0	0	3
88	.0526316	0	3
49	.0714286	0	3
27	0	0	3
99	0	0	3
94	0	0	3
47	.037037	0	3
98	0	0	3
12	.08	0	3
105	0	.0714286	3
59	0	0	3
120	.05	0	3
50	.0666667	.0666667	3
22	.030303	.0606061	3
16	0	.25	3
121	.05	0	3
167	.0357143	.0357143	3
58	.0714286	.0714286	3
11	0	0	3
40	.1333333	0	4
140	.1428571	0	4
67	.04	0	4
22	.1025641	0	4
87	0	0	4
34	.1230769	0	4
11	.1111111	0	4
90	.0833333	0	4
58	.1111111	0	4
85	.0909091	.0454545	4
64	.0571429	.0285714	4
44	.1304348	0	4
33	.0921053	.0131579	4
32	.1428571	0	4
107	.5	0	4
10	.097561	0	4
37	.1132075	.0188679	4
91	.0540541	.0540541	4
164	.0196078	.0196078	4
118	.0671642	0	4
80	.0869565	.0434783	4
88	.1428571	.012987	4
153	.1590909	0	4
47	.0666667	0	4
0	.0434783	0	4
156	.1052632	0	4
93	.04	0	4
104	.047619	0	4
166	.0444444	0	4
94	.1032609	.0163043	4
134	.0666667	0	4
106	0	0	4
56	.0776699	.0097087	4
46	.1263158	.0105263	4
19	.0298507	.0298507	4
20	0	0	4
59	.1428571	0	4
36	.125	0	4
65	.0714286	0	4
13	0	0	4
158	.0625	0	4
136	.075	0	4
62	.0816327	.0204082	4
70	.0526316	.0210526	4
15	0	0	4
131	.0630631	.009009	4
130	.1086956	.0217391	4
38	.25	0	4
98	.0434783	0	4
35	.0447761	.0149254	4
68	.0985916	.0140845	4
61	0	.047619	4
163	.0465116	.0116279	4
89	.1219512	0	4
154	.0754717	.0188679	4
84	.1025641	.025641	4
143	.125	0	4
119	0	0	4
162	.1111111	0	4
86	.1111111	.037037	4
14	.1875	.0625	4
23	0	0	4
155	.1081081	.027027	4
45	0	0	4
39	.0588235	0	4
111	.0425532	.0425532	4
159	.0465116	0	4
