
BLITZER	 And welcome to the Florida State Fairgrounds here in Tampa, the site of the first ever Tea Party/Republican presidential debate.  One year from now, right here in Tampa, the Republican National Convention will nominate the Republican candidate for president of the United States.  Tonight, eight contenders will be on this stage to try to convince voters he or she is the best choice to hold the highest office in the country. And joining them inside this hall, Tea Party activists from Florida and across the nation.  I'm Wolf Blitzer.  I'd like to welcome our viewers in the United States and around the world, including U.S. troops and their families watching overseas.  Tonight's debate is airing on CNN, CNN International, CNN en Espanol, and the American Forces Network seen on U.S. military bases in 175 countries and aboard Navy ships at sea around the globe.  We also want to welcome our co-sponsors, the Tea Party Express, and more than 100 state and local Tea Party groups from across the United States.  Members of the Tea Party movement will play an active role in this debate. We'll take questions from here in Florida, one of the most critical battleground states in the nation. We'll also take questions from Tea Party activists in three other key states. Watch parties are under way right now in Portsmouth, Virginia, an historic Navy port and a 2012 election battleground. In Phoenix, Arizona, the western states shaping the national debate over immigration. And in Cincinnati, Ohio, the Midwestern swing state that has been decisive in so many elections.  
BLITZER	 It's time now to meet the 2012 Republican presidential contenders.  [ applause ]  Joining us now on stage, the former U.S. senator from Pennsylvania, Rick Santorum.  [ applause ]  
BLITZER	 The former Speaker of the House, Newt Gingrich. [ applause ]  
BLITZER	 Texas Congressman Ron Paul. [ applause ]  
BLITZER	 Texas Governor Rick Perry. [ applause ]  Former Massachusetts Governor Mitt Romney.  [ applause ] 
ROMNEY	 Hey, guys. Hi.  
BLITZER	 Minnesota Congresswoman Michele Bachmann.  [ applause ]  The former president and CEO of Godfather's Pizza, Herman Cain.  [ applause ] And the former governor of Utah, Jon Huntsman.  [ applause ] Ladies and gentlemen, the Republican candidates for president of the United States.  [ applause ] Ladies and gentlemen, please rise now and join recording artist Diana Nagy as she leads us in the national anthem.  
DIANA NAGY, RECORDING ARTIST:  [ Sings "The Star Spangled Banner" ]  
BLITZER	 Diana Nagy, thanks very, very much.  Candidates, please take your podiums. And while you do, I want to tell all of our viewers, everyone here a little bit more about how this debate will work.  I, obviously, will be the moderator. I'll ask questions and follow-ups, and I'll work to try my best to make sure that each candidate is getting his or her fair share of the questions and the answer time. And as I mentioned, the tea party activists will be asking questions here in the hall, as well as from our remote sites. And, viewers, you, too, can participate. We're accepting questions for the candidates on Twitter -- make sure to include #cnnteaparty -- on Facebook and, of course, on cnnpolitics.com. Each candidate will have about one minute to answer questions and 30 seconds for follow-ups and rebuttals. I'll make sure that each candidate gets the time to respond if they are singled out for specific criticism.  It's important that the American public knows where the candidates agree on the substantive issues and where they disagree. We want everyone watching to emerge from this debate more informed about these eight people, who each want to become the president of the United States.  Now that the candidates are all in place, it's time for the candidates to introduce themselves to our audience. I'm asking them all to keep it very, very short. Here's an example of what I have in mind.  I'm Wolf Blitzer, and I'm usually in "The Situation Room," but tonight I'm thrilled to be at the Tea Party Republican presidential debate.  [ applause ] Governor Huntsman, we'll begin with you.  
HUNTSMAN	 Wolf, delighted to be here. Yesterday, we were reminded how extraordinary this country is when we pull together during a time of need. Today, ladies and gentlemen, we are deeply divided. I believe I have the experience and the leadership necessary to move this country forward.  
CAIN	 I'm Herman Cain. I am the only non-politician on this stage tonight, and I believe that America has become a nation of crises. That's why I want to be president of the United States of America.  
BACHMANN	 My name is Michele Bachmann. I know we can do so much better in this country. That's why I'm the chief author of the bill to repeal Dodd-Frank, the bill to repeal Obamacare. And that's why I brought the voice of the Tea Party to the United States Congress as the founder of the Tea Party Caucus.  [ applause ] 
ROMNEY	 My name is Mitt Romney. And like you, I recognize that America's economy is in crisis. Got a lot of people without work, and a lot of people wonder whether the future is going to be brighter for their kids. I spent my life in the private sector. I understand how jobs come to America and why they go. And I want to use that experience to get America growing again, adding jobs, and assuring every citizen that they know that their kid and their grandkid will have a brighter future. Thank you.  [ applause ] 
PERRY	 I'm Governor Rick Perry. And I'm proud to be here today with the Tea Party Express. And I simply want to get America working again and make Washington, D.C., as inconsequential in your life as I can.  [ applause ]  
PAUL	 I'm Congressman Ron Paul, a congressman from Texas. I've been in the Congress for 20 years. My goal has always been to promote the cause of liberty and to obey the Constitution. I plan to do that as president, as well.  
GINGRICH	 I'm Newt Gingrich. I think it is totally appropriate that we're having this particular debate on 9/12. And in the spirit of 9/12, I hope to work with you to fundamentally, profoundly change Washington in what will be a long and difficult struggle against the forces of reaction and special interests.  [ applause ]  
SANTORUM	 I'm Rick Santorum. I'm a former two-term senator from a state that has over a million more registered Democrats than Republicans, and I won two elections there without having to change my policies or my party to win.  [ applause ] 
